"text","sentiment","subject","topic","gender"
"BREAKING: No, You Can't Trust @MarcoRubio To Protect Your Guns! #2A #NRA #MarcosMistakes #NHPrimary #VOAV https://t.co/e0pz6","neutral","subjective","Business & Economy","female"
"Team Marco Donor Big DEM Backer! Bankrolled RAHM Emanuel! TWICE! @MarcoRubio #MarcosMistakes #SCPrimary #VOAV https://t.co/Q","neutral","objective","News","male"
"@TGowdySC sitting beside @marcorubio on #Hannity speaks volumes 2me @seanhannity  #WakeUpAmerica","negative","subjective","News","male"
"After Saturday's #GOPDebate @marcorubio took a victory lap on all 5 major Sunday shows! Get the highlights: https://t.co/X","neutral","objective","Sports","male"
"If America doesn't elect @marcorubio as the next president, then I will have officially lost hope for this country. #TeamMarco #Rubio2016","negative","subjective","News","male"
"Schlafly Unloads on  He Betrayed Us All! #Amnesty #SCPrimary #SCGOP #MarcosMistakes #VOAV https://t.co/HTj","positive","objective","Shopping","male"
"@mdjohnson9 @FoxNews @TGowdySC @marcorubio well, can u tell he is pushing for Rubio he is one of the 8 that Rubio is a member of","positive","objective","News","male"
"@MarcoRubio LIES! As FL House Spkr. He Pushed 4 #CapandTrade! Marco's Record Begins 2 Haunt! #MarcosMistakes #VOAV https://","positive","objective","News","male"
"@DT_Stephenson @nicknamejed @marcorubio LOL that's all you guys have left. Lol too funny","positive","subjective","Home & Domestic Life","male"
"Schlafly Unloads on  He Betrayed Us All! #Amnesty #SCPrimary #SCGOP #MarcosMistakes #VOAV https://t.co/nk5ArusH4c","positive","objective","Shopping","male"
"As #SCPrimary nears I urge these people to endorse @marcorubio 
@ScottWalker 
@AmbJohnBolton 
@ReaganWorld 
@nikkihaley 
@","neutral","subjective","Science","male"
"@MarcoRubio, Please Call Dan Quayle. All Rhetoric, No Substance! #SCPrimary #SCGOP #MarcosMistakes #VOAV https://t.co/Dh9l","negative","subjective","Society","male"
"RT.@MarcoRubio Wall Street Sponsor Paul Singer Dumped Hundreds of Thousands into Common Core! #marcosmistakes #VOAV h","neutral","objective","News","male"
"@MarcoRubio Wont Reveal His Position on TPP Until AFTER the Primaries! He Voted For It! #MarcosMistakes #VOAV https:","positive","objective","News","male"
"Cruz and Trump can keep their brand of conservative...I've no interest in closing the doors on the tent. @marcorubio is ","neutral","subjective","News","male"
"@MarcoRubio's Scandal-Ridden Gang Wont Leave Him Alone! #Rubio's Past Comes To Haunt! #MarcosMistakes #VOAV https://","negative","objective","Society","male"
"This is absolutely fantastic.  Very, very well done @marcorubio.  https://t.co/wfKDPj0ly1","positive","subjective","Home & Domestic Life","male"
"@seanhannity @SenatorTimScott @marcorubio ummmm without question? Hahaha!!!","positive","subjective","Home & Domestic Life","male"
"@marcorubio didn't bother to show up to fight to defund PP, and then voted for the CR that funded it. #MarcoNoShow #RubioLies","positive","subjective","News","male"
"I'm joining @marcorubio and his fight for a New American Century #marco https://t.co/6eIQm6FB6W","neutral","objective","Arts","female"
"@RocknRollMic The truth shall set u free! Glad ur parents saw the light! Need more #cruzcrew and #trumpkins 2 see truth. We ","positive","objective","Society","male"
"Former #NRA President: @MarcoRubio Wasnt a Friend to Gun Owners in FL! #MarcosMistakes #2A #VOAV #SCPrimary https://t.co/","neutral","objective","News","male"
"@TracyJeffords @PoliticalLaughs @marcorubio Exactly.  Cruz thinks he can get away with all the lies because Trump is worse.  Wrongamundo.","negative","objective","News","male"
"@TGowdySC on #GOPDebate last weekend: [@marcorubio] was absolutely flawless. #Greta https://t.co/hJZ5QsZrA5","negative","objective","Science","male"
"@MarcoRubio thinks Foreign Workers are BETTER than Americans! #TCOT #Amnesty #MarcosMistakes #SCPrimary #VOAV https://t.c","neutral","subjective","News","male"
"Hey #NewHampshire, @marcorubio is still out there standing for you! Please get out and #VoteForMarco now! #FITN #GOP https","positive","subjective","Arts","male"
"Team Marco Donor Big DEM Backer! Bankrolled RAHM Emanuel! TWICE! @MarcoRubio #MarcosMistakes #SCPrimary #VOAV https://t.co/Q","neutral","objective","News","male"
"\"Liar, liar pants on fire is not a legitimate response\" says @tedcruz of @realDonaldTrump and @marcorubio antics https://t.co","neutral","subjective","News","male"
"@nicknamejed @MannyLinares1 @marcorubio Eduardo Cruz is the biggest liar to run in decades. Lol","positive","objective","News","male"
"@tedcruz Slams @realDonaldTrump's Lawsuit Threat, @marcorubio's Record: https://t.co/hNitMKwvLn","neutral","objective","News","male"
"Marco Rubio ratchets up anti-gay marriage rhetoric, forms advisory board https://t.co/Ve4AjKlkza @marcorubio @HRC https://","neutral","objective","News","male"
"@MarcoRubio Didnt Want To Vet Foreigners From Terrorist Countries After 9-11! #MarcosMistakes #SCPrimary #VOAV https://t.c","negative","objective","News","male"
"@brydibrown7 @jstines3 @marcorubio @MSNBC Well who else would he endorse? Thank God he didn't \"endorse\" Ted.","positive","objective","News","female"
"What is @MarcoRubio Association w/ @RepRivera and #RalphArza? 2 Scandals, No Media Attention! #MarcosMistakes #VOAV https://","neutral","subjective","Recreation & Activities","male"
"@FoxNews @tedcruz @realDonaldTrump @marcorubio everything Cruz has said about Trump and Rubio is proven true! They are t","positive","objective","News","male"
"If you think because Trump is the bigger threat, I'm going to ignore Cruz lying non-stop about @marcorubio , you are mis","positive","subjective","News","female"
"RT.@MarcoRubio Wall Street Sponsor Paul Singer Dumped Hundreds of Thousands into Common Core! #marcosmistakes #VOAV h","neutral","objective","News","male"
"Interview Transcript @MarcoRubio Promised Hispanics en Espaol Hed Keep Executive Amnesty in Place! #MarcosMistakes https","neutral","objective","News","male"
"@CNNPolitics @tedcruz @marcorubio @TalKopan McConnell's statement O shouldN't choose, shld be WILL NOT choose/CRUZ WILL FILIBUSTER,not Rubio","negative","subjective","Society","male"
"@MarcoRubio Didnt Want To Vet Foreigners From Terrorist Countries After 9-11! #MarcosMistakes #SCPrimary #VOAV https://t.c","negative","objective","News","male"
"@itsallgoodonok @SenSanders @marcorubio when candidates refuse to consider even before there is a nominee - that is unamerican","positive","subjective","News","male"
"@MarcoRubio's Scandal-Ridden Gang Wont Leave Him Alone! #Rubio's Past Comes To Haunt! #MarcosMistakes #VOAV https://t.co","negative","objective","Society","male"
"Don't be fooled: @MarcoRubio NEVER supported cap-and-trade. He killed it in Florida. https://t.co/k0cRo5ejhN #SCPrimary","negative","subjective","News","male"
"Schlafly Unloads on  He Betrayed Us All! #Amnesty #SCPrimary #SCGOP #MarcosMistakes #VOAV https://t.co/HTj","positive","objective","Shopping","male"
"@marcorubio is a uniter, he makes policy personal, and is anything but a robot. 

https://t.co/Ge4duTLy2Y","positive","objective","Computers & Technology","male"
"@marcorubio and @McConnellPress should be arrested for treason. Obama can and will elect a new Supreme Court justice. #Scal","neutral","subjective","News","male"
"@collins_neal @marcorubio @TeamMarco The Mayor of West Pelzer,Blake Sanders just endorsed Rubio!!","neutral","subjective","News","male"
"@tedcruz on @realDonaldTrump and  When anyone points to their actual records they get very upset and begin screaming","negative","objective","News","male"
"Cute moment between @marcorubio and his adorable son last night  https://t.co/DqAX0cZmYM","positive","objective","Arts","female"
"@marcorubio @SenatorTimScott @TGowdySC @seanhannity @FoxNews   Hannity?? No credibility there I can see so no thanks.","negative","subjective","News","female"
"Can we talk about that mouse wheel spinning now?

@JebBush @HillaryClinton @tedcruz @marcorubio","positive","subjective","Shopping","female"
"Laura Ingraham responds to @TGowdySC's ridiculous statement that \"no one is more conservative than @marcorubio https://t.co/1O","neutral","subjective","News","male"
"@MarcoRubio Didnt Want To Vet Foreigners From Terrorist Countries After 9-11! #MarcosMistakes #SCPrimary #VOAV https://t.c","negative","objective","News","male"
"@Norsu2 @marcorubio @realDonaldTrump Good point!","positive","subjective","Home & Domestic Life","male"
"@collins_neal @marcorubio @TeamMarco The Mayor of West Pelzer,Blake Sanders just endorsed Rubio!!","neutral","subjective","News","male"
"@MarcoRubio Didnt Want To Vet Foreigners From Terrorist Countries After 9-11! #MarcosMistakes #SCPrimary #VOAV https://t.","negative","objective","News","male"
"@FoxNews @SenatorTimScott @marcorubio Funny,I think of Donald Trump !~!!!","positive","subjective","News","female"
"\"Liar, liar pants on fire is not a legitimate response\" says @tedcruz of @realDonaldTrump and @marcorubio antics https://t.co","neutral","subjective","News","male"
"@MarcoRubio Pulled the Wrong Card From His Wallet Over and Over Again! #TCOT #MarcosMistakes #SCPrimary #VOAV https://t.","negative","objective","Arts","male"
"Myth #1 @marcorubio was in Gang of Eight and supports amnesty BUSTED Myth #2 @realDonaldTrump is NOT \"self-funding\" his c","neutral","subjective","News","male"
"Did you know? @MarcoRubio Endorsed Mitch McConnell for Reelection? #RINO #GOPe #MarcosMistakes #VOAV #SCPrimary https://t.","positive","subjective","News","female"
"@Norsu2 @PoliticalLaughs @marcorubio Rubio and Cruz .  Hope you know Fox News. Is for the Trump.","positive","subjective","News","male"
"@ryanr814 @RightForRubio @tedcruz @marcorubio You would think so. Personality disorder? https://t.co/jaKkbxae6A","positive","subjective","Health","female"
"@MarcoRubio LIES! After Saying No to Refugees, Rubio Opens the Door to Syrians! #MarcosMistakes #SCPrimary #VOAV https","neutral","objective","News","male"
"If our next president is even half the president Ronald Reagan was, America will be greater than it's ever been. https://t.","positive","subjective","News","male"
"@marcorubio Leaders in the military are fired if they lose 1 plane even in a military exercise. Bush cost $billions, lives, and body parts!","neutral","objective","News","male"
"@GTHOMSE @marcorubio @thehill   Trump has severe psychological problems.","neutral","objective","Health","male"
"@Txsleuthe @seanhannity @marcorubio can't stand Teddy Shut Down's voice. #BusTed #DisgusTed #TedCruz #liar","negative","subjective","Arts","female"
"@rose10052 @jmt8090 @marcorubio Rose thank you for sharing this, put tears in my eye..Marco is genuine, with a good heart.","positive","subjective","Home & Domestic Life","female"
"Great turn out for @marcorubio here in Florence, SC ! https://t.co/igPWcTik2U","positive","subjective","Home & Domestic Life","male"
"@winstoncdn @seanhannity @marcorubio That's why I d/n hear all of his answer. I always mute him b/c of his voice.","positive","subjective","Arts","female"
"@DanDmb68 sad way to vote, being informed of your candidate should b a high priority when deciding the fate of US @DollF","neutral","subjective","News","male"
"@MarcoRubio LIES! After Saying No to Refugees, Rubio Opens the Door to Syrians! #MarcosMistakes #SCPrimary #VOAV http","neutral","objective","News","male"
"@KatyinIndy @ryanr814 @tedcruz @marcorubio it was pulled bc of SC corporate farm lobby. They use illegal labor.","negative","objective","News","male"
"@goheels_70 @MN2A4ASupporter @marcorubio Yes, he did. And McConnell gave us Eric Holder in a Dress. And will give Obama a Supreme.","neutral","objective","News","male"
"@MarcoRubio EXPOSED on Pushing #CapandTrade as FL House Speaker!! Another one of #MarcosMistakes! #SCPrimary #VOAV https:/","negative","objective","News","male"
"@MarcoRubio Pulled the Wrong Card From His Wallet Over and Over Again! #TCOT #MarcosMistakes #SCPrimary #VOAV https://t.","negative","objective","Arts","male"
"@MarcoRubio Didnt Want To Vet Foreigners From Terrorist Countries After 9-11! #MarcosMistakes #SCPrimary #VOAV https://t.","negative","objective","News","male"
"@DanDmb68 his bankruptcies and failed business ventures shouldn't be taken into account. @DollFaces911 @marcorubio @You","negative","subjective","News","male"
"What do @nikkihaley @SenatorTimScott @TGowdySC and @marcorubio have in common? They all turned their back on the people who","positive","objective","News","female"
"Look who was really lying! Any GOP that endorses support the amnesty lie 
@marcorubio @SenatorTimScott @TGowdySC https:","positive","subjective","News","female"
"Former #NRA President: @MarcoRubio Wasnt a Friend to Gun Owners in FL! #MarcosMistakes #2A #VOAV #SCPrimary https://t.co/","neutral","objective","News","male"
"@GTHOMSE @marcorubio @thehill   You bet.  I love Rubio.   Disgust only for Trump.","positive","subjective","News","female"
"BREAKING: No, You Can't Trust @MarcoRubio To Protect Your Guns! #2A #NRA #MarcosMistakes #NHPrimary #VOAV https://t.co/PF","neutral","subjective","Business & Economy","female"
"@MarcoRubio EXPOSED on Pushing #CapandTrade as FL House Speaker!! Another one of #MarcosMistakes! #SCPrimary #VOAV https://","negative","objective","News","male"
" \"A conservative that can inspire a new generation of voters: @MarcoRubio\" https://t.co/JNkqbO397f","neutral","objective","News","male"
"@tedcruz12017 @marcorubio @bpolitics Rubio wants the door open to","neutral","objective","News","male"
"@marcorubio - \"I hope that I will always be on the right side, even though it might not always be the popular side\" https://t.co/XvuvOnsmNr","positive","subjective","Home & Domestic Life","female"
"@MarcoRubio Pulled the Wrong Card From His Wallet Over and Over Again! #TCOT #MarcosMistakes #SCPrimary #VOAV https://t.co/s","negative","objective","Arts","male"
"@seanhannity @SenatorTimScott @marcorubio  please stop trying to pump this RINO to us.","negative","subjective","Recreation & Activities","male"
"Which @GOP candidate do u trust the most? @realDonaldTrump @tedcruz @marcorubio @JebBush","neutral","subjective","News","male"
"Rubio: People do not want comprehensive immigration reform

FLASHBACK: @marcorubio passed largest amnesty bill ever https:/","neutral","objective","News","male"
"@MarcoRubio LIES! After Saying No to Refugees, Rubio Opens the Door to Syrians! #MarcosMistakes #SCPrimary #VOAV https","neutral","objective","News","male"
"Cruz and Trump can keep their brand of conservative...I've no interest in closing the doors on the tent. @marcorubio is ","neutral","subjective","News","male"
"@marcorubio @SenatorTimScott @TGowdySC @seanhannity @FoxNews First term senator needs his handlers help. Establishment phony","neutral","objective","News","male"
"@carolfoxlover @Txsleuthe @sdpgrl @seanhannity @marcorubio 
Yep; it's a #TEDpertantrum Cutting off his unusual nose to sp","positive","subjective","Arts","female"
"Myth #1 @marcorubio was in Gang of Eight and supports amnesty BUSTED Myth #2 @realDonaldTrump is NOT \"self-funding\" his campaign BUSTED","neutral","subjective","News","male"
"@MarcoRubio Didnt Want To Vet Foreigners From Terrorist Countries After 9-11! #MarcosMistakes #SCPrimary #VOAV https://t.co","negative","objective","News","male"
"@MarcoRubio donors incl Bill Gates and Paul Singer-Pro #CommonCore, Pro Gay-Marriage, Pro #Amnesty. #SCPrimary #VOAV https","neutral","objective","Society","male"
"Schlafly Unloads on  He Betrayed Us All! #Amnesty #SCPrimary #SCGOP #MarcosMistakes #VOAV https://t.co/f5XRRvhhRD","positive","objective","Shopping","male"
"In Florida, @MarcoRubio worked to stop eminent domain abuse, like @realDonaldTrump used https://t.co/xv3abm6vSe  #DumpTrump #SC","neutral","objective","Health","male"
"If you think because Trump is the bigger threat, I'm going to ignore Cruz lying non-stop about @marcorubio , you are mis","positive","subjective","News","female"
"@MarcoRubio Wont Reveal His Position on TPP Until AFTER the Primaries! He Voted For It! #MarcosMistakes #VOAV https:","positive","objective","News","male"
"Don't be fooled: @MarcoRubio NEVER supported cap-and-trade. He killed it in Florida. https://t.co/k0cRo5ejhN #SCPrimary","negative","subjective","News","male"
" Justice Scalia is one of the finest, if not the finest jurist in defense of the original meaning of the Constit","neutral","subjective","Arts","male"
"@FoxNews @TGowdySC @marcorubio Gowdy is drooling all over Rubio, ewww","negative","objective","News","male"
"@MarcoRubio, Please Call Dan Quayle. All Rhetoric, No Substance! #SCPrimary #SCGOP #MarcosMistakes #VOAV https://t.co/T4iR","negative","subjective","Society","male"
"@MarcoRubio's Scandal-Ridden Gang Wont Leave Him Alone! #Rubio's Past Comes To Haunt! #MarcosMistakes #VOAV https://","negative","objective","Society","male"
"What is @MarcoRubio Association w/ @RepRivera and #RalphArza? 2 Scandals, No Media Attention! #MarcosMistakes #VOAV https://t.","neutral","subjective","Recreation & Activities","male"
"Marco Rubio Has Always Voted Against Funding Planned Parenthood https://t.co/EwE5VrhG08 @marcorubio https://t.co/49midMwryZ","neutral","objective","News","male"
" \"A conservative that can inspire a new generation of voters: @MarcoRubio\" https://t.co/JNkqbO397f","neutral","objective","News","male"
"@MarcoRubio Wont Reveal His Position on TPP Until AFTER the Primaries! He Voted For It! #MarcosMistakes #VOAV https://t.co/","positive","objective","News","male"
"BREAKING: No, You Can't Trust @MarcoRubio To Protect Your Guns! #2A #NRA #MarcosMistakes #NHPrimary #VOAV https://t.co/PF","neutral","subjective","Business & Economy","female"
"Former #NRA President: @MarcoRubio Wasnt a Friend to Gun Owners in FL! #MarcosMistakes #2A #VOAV #SCPrimary https://t.co/","neutral","objective","News","male"
"What do @nikkihaley @SenatorTimScott @TGowdySC and @marcorubio have in common? They all turned their back on the people who","positive","objective","News","female"
"@FoxNews @SenatorTimScott @marcorubio WHATTT??? Looked like a varmet cage fight except for Kasich.","positive","subjective","News","male"
"@seanhannity BTW @marcorubio RINO @SenatorTimScott and RINO @TGowdySC well, well seems the benghazi hearings just for show ","positive","subjective","News","male"
"@ArizonaLuke @freedomtex @marcorubio nope, i'm all good, thanks.","positive","subjective","Home & Domestic Life","female"
"We're hoping some @MarcoRubio supporters can join in and help out here. What's he done in the Senate over five... https://t.co/zTzlpTLZUC","neutral","objective","News","male"
"@FoxNews @tedcruz @realDonaldTrump @marcorubio everything Cruz has said about Trump and Rubio is proven true! They are the liars. Lib and a Rino","positive","objective","News","male"
"@Norsu2 Learning so much more about Rubio from your tweets. We've followed him since he's been in Washington and our favorite @marcorubio","positive","subjective","News","male"
"@MarcoRubio Wont Reveal His Position on TPP Until AFTER the Primaries! He Voted For It! #MarcosMistakes #VOAV https://t.co/","positive","objective","News","male"
"@sassy_gramma @ReeseDelaney @marcorubio Here's one https://t.co/SUcPOrUli2","neutral","subjective","Arts","male"
"Cute moment between @marcorubio and his adorable son last night  https://t.co/DqAX0cZmYM","positive","objective","Arts","female"
"@Stitchress @marcorubio @thehill Need to get the word out sistah!  Keep tweeting! :-)","positive","objective","Home & Domestic Life","female"
"Cute moment between @marcorubio and his adorable son last night  https://t.co/DqAX0cZmYM","positive","objective","Arts","female"
"I'm joining @marcorubio and his fight for a New American Century #marco https://t.co/nU5dA6hCRO *donated 6th time. I want to win that trip.","neutral","objective","Arts","female"
"@MarcoRubio LIES! After Saying No to Refugees, Rubio Opens the Door to Syrians! #MarcosMistakes #SCPrimary #VOAV https:/","neutral","objective","News","male"
"@MarcoRubio Didnt Want To Vet Foreigners From Terrorist Countries After 9-11! #MarcosMistakes #NHPrimary #VOAV https://","negative","objective","News","male"
"@Txsleuthe @seanhannity @marcorubio can't stand Teddy Shut Down's voice. #BusTed #DisgusTed #TedCruz #liar","negative","subjective","Arts","female"
"@MarcoRubio Didnt Want To Vet Foreigners From Terrorist Countries After 9-11! #MarcosMistakes #SCPrimary #VOAV https://t.c","negative","objective","News","male"
"@KatyinIndy @ryanr814 @tedcruz @marcorubio it was pulled bc of SC corporate farm lobby. They use illegal labor.","negative","objective","News","male"
"Don't be fooled: @MarcoRubio NEVER supported cap-and-trade. He killed it in Florida. https://t.co/k0cRo5ejhN #SCPrimary","negative","subjective","News","male"
"@marcorubio It was INEXCUSABLE for George W. Bush and his cadres to blow off Clinton's warnings about Osama Bin Laden and Al Qaeda!","neutral","objective","News","male"
"@foxnation @tedcruz @realDonaldTrump @marcorubio I heart all tweets knocking Trump.","positive","subjective","News","female"
" Justice Scalia is one of the finest, if not the finest jurist in defense of the original meaning of the Constit","neutral","subjective","Arts","male"
"Don't be fooled: @MarcoRubio NEVER supported cap-and-trade. He killed it in Florida. https://t.co/k0cRo5ejhN #SCPrimary","negative","subjective","News","male"
"If you think because Trump is the bigger threat, I'm going to ignore Cruz lying non-stop about @marcorubio , you are mis","positive","subjective","News","female"
"@marcorubio took a selfie with my daughter on her iPod after the event today. 
She was so excited. #genuine https://t.co/OHJ","positive","objective","Arts","female"
"@sassy_gramma @ReeseDelaney @marcorubio Here's one https://t.co/SUcPOrUli2","neutral","subjective","Arts","male"
"@KenGardner11 @MBGlenn @marcorubio I don't even remember tweeting anything at him....huh https://t.co/oVZPT0AUHP","negative","subjective","Home & Domestic Life","female"
"What is @MarcoRubio Association w/ @RepRivera and #RalphArza? 2 Scandals, No Media Attention! #MarcosMistakes #VOAV https://t.","neutral","subjective","Recreation & Activities","male"
"Dear My #American Followers, Lets all vote for @marcorubio , he has the best ideas on #Syria, and is most educated. htt","negative","subjective","Home & Domestic Life","female"
"@MarcoRubio cries \"lies\" about @TedCruz to hide own record like pro in-state tuition discounts for illegals aliens! https:","neutral","objective","News","male"
"@KatyinIndy @ryanr814 @tedcruz @marcorubio it was pulled bc of SC corporate farm lobby. They use illegal labor.","negative","objective","News","male"
"@carolfoxlover @Txsleuthe @sdpgrl @seanhannity @marcorubio 
